,track_name,artist,lyrics
0,Problems In Us,Col3trane,"[Pre-Chorus]I couldn't believe that you would callAnother man to keep you company, yeahI swear all the times that you would talk to meI'd be on my best behavior[Chorus]If that ain't enough, I'm soberin' upThe problems in you, the problems in usThe problems in us, the problems in usThe problems in us, the problems in us[Post-Chorus]But even my momma said to me (Yeah)That you were rude and that you talk too much(Talk too much now)I don't give a fuck, and if you wantI'll be your best man on my worst behavior[Chorus]If that ain't enough, I'm soberin' upThe problems in you, the problems in us (The problems in us)The problems in us, the problems in us (The problems in us)The problems in us, the problems in us[Pre-Chorus]I couldn't believe that you would callAnother man to keep you company, yeahI swear all the times that you would talk to meI'd be on my best behavior"
1,New Shapes,Diplo,"[Chorus]You don't show me no sign of your innocent side (Yeah)Can't see it, B, you're blinded (Blinded)You don't realize itAnd you can trust in my side, no riddles, no liesCan't see it, B, you're blindedShe don't realize it[Verse 1]Take my heart, bitch, I wish you good luck, ayy (Good luck)When you're gone, think I missed yaNo time on my watch, I'm pushing right up (Pushing right up, I'm pushing right up)Ayy, don't watch you, I watch the money stack up (The money)I wanna shine like a starNo love for my mother (No love), you mean nada[Pre-Chorus]And all of this time, you lookin' at me and you lyin'Said you don't try no more, I see the signs, yeah (I see the signs)And all of this time, you lookin' at me and you lyin'Said you don't try no more, I see the signs, yeah (Yeah)The signs, yeah[Chorus]You don't show me no sign of your innocent side (Yeah)Can't see it, B, you're blinded (Blinded)You don't realize itAnd you can trust in my side, no riddles, no liesCan't see it, B, you're blindedShe don't realize itAnd you can trust in my side, no riddles, no liesCan't see it, B, you're blindedShe don't realize it"
2,Throwaway,SG Lewis,"

[Verse 1]
Sometimes I know what's right for me
And I'll be here waiting, yeah
Baby, show me all that I can do
I could be the one to guide you through

[Chorus]
Baby, take my hand and I'll show you the way
Bring you a little closer, tell you it's okay
I don't wanna be something you can throw away
Baby, take my hand and I'll show you the way
Bring you a little closer, tell you it's okay
I don't wanna be something you can throw away

[Verse 2]
And I'm falling so hard for you (Falling so hard for you)
Would you be there to catch me, too? (Falling so hard for you)
And I'm falling so hard for you
Would you be there to catch me, too? Me, too?

[Chorus]
Baby, take my hand and I'll show you the way
Bring you a little closer, tell you it's okay
I don't wanna be something you can throw away
I don't wanna be something you can throw away
Baby, take my hand and I'll show you the way (Show the way)
Bring you a little closer, tell you it's okay (It's okay)
I don't wanna be something you can throw away
Baby, take my hand and I'll show you the way (Show the way)
Bring you a little closer, tell you it's okay (It's okay)
I don't wanna be something you can throw away (Throw away)
Baby, take my hand and I'll show you the way
Bring you a little closer, tell you it's okay
I don't wanna be something you can throw away

"
3,Electrian,DJ Seinfeld,
4,Skip,SuperParka,"

I will not always be your friend
Tell yourself every thing’s okay
Easy-come-easy-go again
It’s gonna gonna get to you get to you someday

Skip

What did you mean the other day?
Telling me everything has changed
The mess i made is the mess you made
It’s gonna gonna get to you get to you… someday

Skip

Why so doubtful?

Maybe one day you’ll understand
True love will find you in the end

"
5,Mile High (feat. Travis Scott & Metro Boomin),James Blake,"

[Intro: James Blake]
Don't wanna see you by yourself, by yourself
By yourself, by yourself, by yourself

[Verse 1: Travis Scott]
We on a drive, looped in
Two seat ride, couped in
Who gon' slide? Who's in?
Big rocks 'round, new tint
Fleetwood down, new sand
Two seat ride, couped in
Don't leave 'round loose ends
Don't be around new friends, yeah

[Chorus: Travis Scott]
We just be mile high clubbin'
I'm on a thousand miles runnin'
Hit it, go downtown Sunday
Then move it uptown Monday

[Post-Chorus: James Blake]
Don't wanna see you by yourself, by yourself
By yourself, by yourself, by yourself

[Verse 2: Travis Scott]
If I give it to you, will you leave?
Tell it to you, will you speak?
Got it tatted on my sleeve
Fell in love overseas
Ass fatter than a peach, uh
Ocean water kinda deep, uh
Rollin' up out the reef, uh
Put me down, straight to sleep

[Refrain: Travis Scott & James Blake]
Lasting like Duracell
Lasting like Duracell
40 days, 40 nights
Feel like a holy night
The lesson's always there
That less is always more
And in the back and forth
I'm not keeping score
Lesson's always there
That less is always more
When you're alone with me
You never come up short
You never come up short
(Never come up short, never come up short, never come—)

[Verse 3: James Blake]
Watch the fan as it spins
In my arms, wrapped in
Don't know where you stop
And where I begin
Like I found myself an imaginary friend
And when we stay in
Not missin' anything

[Chorus: Travis Scott]
We just be mile high clubbin'
I'm on a thousand miles runnin'
Hit it, go downtown Sunday
Then move it uptown Monday

[Post-Chorus: James Blake]
Don't wanna see you by yourself, by yourself
By yourself, by yourself, by yourself

[Verse 4: James Blake]
Hi-Vis, never seen
Low-key as it's been
Fell in love overseas
Fell in love like it's easy
Put to sleep without dreams
Under the moonbeam
Call you for no reason
Hold on like it's greasy

[Refrain: Travis Scott, James Blake & Both]
Lasting like Duracell
Lasting like Duracell
40 days, 40 nights
Feel like a holy night
The lesson's always there
That less is always more
And in the back and forth
I'm not keeping score
Lesson's always there
That less is always more
When you're alone with me
You never come up short
You never come up short
(Never come up short, never come up short, never come—)

[Outro: James Blake]
Don't wanna see you by yourself, by yourself
By yourself, by yourself, by yourself

"
6,Walk Away,DRAMA,"

WALK AWAY

{Chorus}
someday you’re gonna wake up
you’ll see you made a mistake
you let me walk away love
i said i needed more
you said you couldn’t afford love
n time just another number on the wall
just another number to call
but wait don’t let me walk away love
don’t let me walk away love
you couldn’t afford love
love

{Verse}
i love you but i’ll never get my love back
and money money
is a time that i don’t have
i love you but i’ll never get my love back
(you love lust you love lust)
and money money
is a time that i don’t have
an i dont wanna waste my love on a man
(you love lust you love lust)
who doesn’t love love
(you love lust you love lust)
who doesn’t love love
who doesn’t love love
who doesn’t love love

{Chorus}
someday you’re gonna wake up
you’ll see you made a mistake
you let me walk away love
i said i needed more
you said you couldn’t afford love
n time just another number on the wall
just another number to call
but wait don’t let me walk away love
don’t let me walk away love
don’t let me walk away love
don’t let me walk away love
don’t let me walk away love
don’t let me walk away love
you couldn’t afford love
love

"
7,Candid,Kllo,"

[Intro]
Talk with friends 'round me, don't
Talk with friends 'round me, don't

[Verse 1]
20/20 vision, got you with precision
It would take more than 1 or 2
To get me so into you (I'm not in your eyes)
I'm pretty jaded and I didn't even say that (I want you)
When you hit me up, there's no reply
Once you're coming on, I go offline

[Pre-Chorus 1]
You're the one that sent the message
I don't need you at my beck and call
What makes you so sure? (On and on)
When you're the one that instigated
I had not reciprocated, no
Writing's on the wall

[Chorus]
And you wonder why I didn't come back
Don't wanna think twice on the contact
Another wild ride, another nightcap
I gave you one try

[Chorus]
And you wonder why I didn't come back
Don't wanna think twice on the contact
Another wild ride, another nightcap
I gave you one try till you're making me your alibi

[Verse 2]
No disrespect, I just wanna keep it candid
Guessing we've got different standards, so low
I'm not feeling it, and thanks to my intuition
Got me dodging a collision at last

[Pre-Chorus 2]
You're the one that sent the message
I don't need you at my beck and call
What makes you so sure? One day
You're the one that sent the message
I reciprocated
No, ball's not in your court

[Chorus]
And you wonder why I didn't come back
Don't wanna think twice on the contact
Another wild ride, another nightcap
I gave you one try

[Chorus]
And you wonder why I didn't come back
Don't wanna think twice on the contact
Another wild ride, another nightcap
I gave you one try till you're making me your alibi

[Chorus]
And you wonder why I didn't come back
Don't wanna think twice on the contact
Another wild ride, another nightcap
I gave you one try

[Chorus]
And you wonder why I didn't come back
Don't wanna think twice on the contact (Wanna keep it candid)
Another wild ride, another nightcap
I gave you one try till you're making me your alibi

[Post-Chorus]
One time, one time, one try till I am your alibi
One time, one time, one try till I am your alibi
One time, one time, one try till I am your alibi
One time, one time, one try

[Outro]
Talk with friends 'round me, don't
Talk with friends 'round me, don't
Talk with friends 'round me, don't
Talk with friends 'round me, don't

"
8,count on,Shallou,"

[Verse]
Wait
We found a place
Safe
All on our own

[Pre-Chorus]
We've come so far
But you have always been my home
I know it's dark
'Cause one of us is letting go

[Chorus]
Will you let go? Let go
Will you take home in my heart?
Will you let go? Let go
Will you take home?
If I can count on you
Just let me go, if I can count on you

[Verse]
Wait
We found a place
Safe
All on our own

[Pre-Chorus]
We've come so far
But you have always been my home
I know it's dark
'Cause one of us is letting go

[Chorus]
Will you let go? Let go
Will you take home in my heart?
Will you let go? Let go
Will you take home?
If I can count on you
Just let me go, if I can count on you
Just let me go, If I can count on you

"
9,Location (feat. Burna Boy),Dave,"

[Intro]
JAE5

[Chorus: Burna Boy]
If you send me the location
Then I'll be right there
And make I come check you, my baby
No time, no
And my dawg is on probation
Another 5 years
Me bring girls to his location
No time, no

[Verse 1: Dave]
Send me the location
This year ’bout vacations
Flight catching, train taking
Soon as my nigga off probation
Your boyfriend's on a waiting ting
Looking for one wish, on a Ray J ting
I pree'd that girl, outrageous ting
But she can’t see 'cause I got shades and ting
Bare girls wanna throw shade and ting
No shade, what shade is your foundation in?
Darkest grey, the shade I'm in
49 more if your babes wants in
I had me a famous ting
Goals and tings, gains and tings
My house party a babe station
Girls wanna chase, it's a status ting

[Chorus: Burna Boy]
If you send me the location
Then I'll be right there
And make I come check you, my baby
No time, no
And my dawg is on probation
Another 5 years
Me bring girls to his location
No time, no

[Verse 2: Dave]
Look, playboy, I don't need a Carti
I'm captain, I lead the army
Bad ratio, I leave the party
Three Somalis creepin' on me
Your ex wavy, we tsunami
Girl from India, sweet as naani
Head so good, now I speak Gujarati
You hardly, pardon me, I’m laughing again
I assisted, man, passed to my friend
Look, money like the alphabet
If you wanna see P’s, gotta pass on the ends
Came a long way from a park in the bends
To an '18 plate, man’s parking a Benz
Far from the rest but I'm far from my best
Life is a lesson, I'm passing a test
Yes, everyting blessed
I don't want drama and I don’t want stress
My girl got finesse, Caribbean flex
Body and chest, take buddy in chest
Thank God more, I grew up with less
Juss to the right, Rapz to the left
Rj in the middle, got Cee to the death
Batch full of dogs with the 60's vets

[Chorus: Burna Boy]
If you send me the location
Then I'll be right there
And make I come check you, my baby
No time, no
And my dawg is on probation
Another 5 years
Me bring girls to his location

[Refrain: Burna Boy]
Nigga I was down but I made it to the top right now
(Right now, right now, right now)
And I can pull a couple grand out my pocket right now
(Right now, right now, right now)
Yeah I'm so fly, yeah I'm flyer than a rocket right now
(Right now, right now, right now)
And all the games you play never stop right now
(Right now, right now, right now)

[Verse 3: Burna Boy]
I pull up on the block, I see everybody watching
'Cause there's diamonds on my chain
And there's diamonds on my watch
Money moves, Off-White shoes
Came straight from Virgil Abloh
I've been down, I've been low
Had my mattress on the floor
No map, North Cap, bend it up
Gyal a ring-ring my cellular
Mi 'ave big fat spliff pon me, nuh
Inna the big black Benz, pullin' up
Please tell everybody to start pulling up
'Nough champagne from the bar coming up
Party hard, make her live my life, oh

[Refrain: Burna Boy]
Nigga I was down but I made it to the top right now
(Right now, right now, right now)
And I can pull a couple grand out my pocket right now
(Right now, right now, right now)
Yeah I'm so fly, yeah I'm flyer than a rocket right now
(Right now, right now, right now)
And all the games you play never stop right now
(Right now, right now, right now)

[Chorus: Burna Boy]
If you send me the location
Then I'll be right there
And make I come check you, my baby
No time, no
And my dawg is on probation
Another 5 years
Me bring girls to his location
No time, no

"
