,track_name,artist,lyrics
0,Break Up Song,Little Mix,"[Verse 1: Leigh-Anne]This is not a second chance, no, no, babyThis is not a new romance, not tonight (Ah-ah-ah)This is for all the nights I cried for you, babyHoping you could be the one that could love me right[Pre-Chorus: Jesy]I'll be good all by myselfYeah, I'll find a way to dance without youIn the middle of the crowdI'll forget all of the pain inside, oh[Chorus: All]So tonight, I'll sing another, another break-up songSo turn it up, let it play on and on and on and onFor all of the times they screwed us overLet it play on and on and onJust another break-up song[Post-Chorus: Perrie & All]Ain't no more tears (Oh)Ain't gonna cry (Oh)Boy, I'll do anything to get you off my mindI'm gonna dance (Oh)Under the lights (Oh)Boy, I'll do anything to get you off my mind"
1,This City,Sam Fischer,"

[Verse 1]
I've been seeing lonely people in crowded rooms
Covering their old heartbreaks with new tattoos
It's all about smoke screens and cigarettes
Looking through low lights at silhouettes
But all I see is lonely people in crowded rooms

[Chorus]
This city's gonna break my heart
This city's gonna love me then leave me alone
This city's got me chasing stars
It's been a couple months since I felt like I'm home
Am I getting closer to knowing where I belong?
This city's gonna break my heart
She's always gonna break your heart, oh

[Verse 2]
I remember mornings when my head didn't hurt
And I remember nights when art didn't feel like work
She wakes up at noon and she's out 'til three
She leaves her perfume all over me
But I remember mornings when my head didn't hurt

[Chorus]
This city's gonna break my heart
This city's gonna love me then leave me alone
This city's got me chasing stars
It's been a couple months since I felt like I'm home
Am I getting closer to knowing where I belong?
This city's gonna break my heart
She's always gonna break your heart, oh

[Bridge]
She got a hold on me
She got me wrapped round her finger
She got a hold on me
She got me wrapped round her finger, oh yeah

[Chorus]
This city's gonna break my heart
This city's gonna love me then leave me alone
This city's got me chasing stars
It's been a couple months since I felt like I'm home
Am I getting closer to knowing where I belong?
This city's gonna break my heart
She's always gonna break your heart, oh

[Outro]
This city's gonna break my heart, hey
She's always gonna break your heart

"
2,Watermelon Sugar,Harry Styles,"[Verse 1]Tastes like strawberries on a summer evenin'And it sounds just like a songI want more berries and that summer feelin'It's so wonderful and warm[Pre-Chorus]Breathe me in, breathe me outI don't know if I could ever go withoutI'm just thinking out loudI don't know if I could ever go without[Chorus]Watermelon sugar highWatermelon sugar highWatermelon sugar highWatermelon sugar highWatermelon sugar[Verse 2]Strawberries on a summer evenin'Baby, you're the end of JuneI want your belly and that summer feelin'Getting washed away in you[Pre-Chorus]Breathe me in, breathe me outI don't know if I could ever go without"
3,Fake Friends (feat. Alex Hosking),PS1,"It’s the middle of the night, what the fuck we gonna do?It seems you’re all talk, baby, all talk, oohhI can smell the cigarette smoke falling from youGot me alone, what the fuck we gonna do?You hate those West Coast plastic, tinsel Botox perfect smilesUmm hi (umm hi)You’re a lonely wallflower, old school type of anti styleDa da da daMaybe we could be like the others, they know how to have funMaybe we could be like the others, they know how to have funMaybe we could be like the others, they know how to have funThey know how to have funThey know how to have funMaybe we could be like the others, they know how to have funMaybe we could be like the others, they know how to have funMaybe we could be like the others, they know how to have funThey know how to have funThey know how to have funYou’ve been talking up a game so let’s play some RiskTalking big, talking shit, just like thisI would rather posers than your attitudeYou got me alone, what the fuck you gonna do? (fuck you gonna do?)"
4,Know Your Worth,Khalid,"

[Verse 1]
He keeps leaving you for dead
I don't know what you been waiting for
So you've got your love locked up instead
But somethin' better's waitin' at your door

[Chorus]
You don't know your worth
All the things I know that you deserve
Say it's not real if it doesn't hurt
Find someone you know will put you first
Find someone who loves you at your worst

[Post-Chorus]
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Who puts you first?
Find someone who loves you at your worst

[Verse 2]
Don't forget the words I said
Picking you up when you're feelin' down
You get strung on thoughts left in your head
When you lose hope, soon you will be found

[Chorus]
You don't know your worth
All the things I know that you deserve
Say it's not real if it doesn't hurt
Find someone you know will put you first
Find someone who loves you at your worst

[Post-Chorus]
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Who puts you first?
Find someone who loves you at your worst

[Interlude]
(Find someone who loves you at your worst)
Find someone who loves you at your worst

[Post-Chorus]
Gotta keep, gotta keep, gotta keep your head up (Head)
Gotta keep, gotta keep, gotta keep your head up (Keep your head up, keep your head up)
Gotta keep, gotta keep, gotta keep your head up
Who puts you first?
Find someone who loves you at your worst

[Outro]
(Find someone who loves you at your worst)
Find someone who loves you at your worst

"
5,Say So (feat. Nicki Minaj),Doja Cat,"

[Intro: Nicki Minaj]
Yeah, you know it
Mmm, this the remix
Doja, rrr

[Chorus: Doja Cat & Nicki Minaj]
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so (Uh)

[Verse 1: Nicki Minaj]
Every time I take a break, the game be so boring
Pretty like Naomi, Cassie, plus Lauren
Spittin' like Weezy, Foxy, plus Lauryn
Ball like the Rams, see, now that's Gordon
They don't understand the bag talk, I'm foreign
When they think they top the queen, they start fallin'
Word to my ass-shots, I'm so cheeky
Got 'em tryna palm my ass like young Keke
Yes, I'm ghetto, word to Geppetto
Plus I'm little, where's my stiletto?
Tell Mike Jordan send me my Retros
Used to be bi, but now I'm just hetero
Ain't talkin' medicine, but I made him more a fiend
Ever since I put the cookie on quarantine
He know this thing A1 like a felony
All he gotta do is say the word like a spelling bee

[Chorus: Doja Cat]
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so (Yeah)

[Verse 2: Doja Cat]
Let me check my chest, my breath right quick (Ha)
He ain't ever seen it in a dress like this (Ah)
He ain't ever even been impressed like this
Prolly why I got him quiet on the set like zip
Like it, love it, need it, bad
Take it, own it, steal it, fast
Boy, stop playing, grab my ass
Why you actin' like you shy? (Hot)
Shut it, save it, keep it pushin'
Why you beating 'round the bush?
Knowin' you want all this woman
Never knock it 'til you try (Yah, yah)
All of them bitches hating I have you with me
All of my niggas sayin' you mad committed
Realer than anybody you had, and pretty
All of the body-ody, the ass and titties

[Chorus: Doja Cat]
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so

[Post-Chorus: Nicki Minaj]
Yeah, you know it
Yeah, you know it
Yeah, you know it
Yeah, you know it

[Outro: Nicki Minaj]
You coulda said so
Boy, you shoulda said so
Say so, say so
I got dressed just to sit in the house
People with the least always doin' the most
I'm countin' money while he suckin' my toes
Real nasty with them balls, all net, yeah, I'm gross
Why you talkin' 'bout who body fake?
With all them fillers in your face, you just full of hate
That real ass ain't keep your nigga home
Now you lookin' silly, that's word to silicone

"
6,Roses - Imanbek Remix,SAINt JHN,"[Verse 1]RosesI walked in the corner with the body screaming doloNever sold a bag but look like Pablo in a photoThis gon' make 'em feel the way like Tony killed ManoloYou already know though, you already know thoughI walk in the corner with the money, on my fingerShe might get it popping, I might wife her for the winterI already know, already know, nigga rosesAll I need is roses[Chorus]Turn up baby, turn up, when I turn it onYou know how I get too lit when I turn it onCan't handle my behavior when I turn it onToo fast, never ask, if the life don't lastDone been through it allFuck with a nigga raw, this who you wanna beAnd I know you won't tell nobody nothingAnd I know you won't tell nobody no[Verse 2]RosesI might pull up flexing on these niggas like aerobicsI might tell her girl you cute but balling, that shit gorgeousStanding on the table, Rosé, Rosé, fuck the watersYou know who the God is"
7,death bed (coffee for your head) (feat. beabadoobee),Powfu,"[Intro: beabadoobee]Don't stay awake for too long, don't go to bedI'll make a cup of coffee for your headIt'll get you up and going out of bed[Verse 1: Powfu]Yeah, I don't wanna fall asleep, I don't wanna pass awayI been thinking of our future 'cause I'll never see those daysI don't know why this has happened, but I probably deserve itI tried to do my best, but you know that I'm not perfectI been praying for forgiveness, you've been praying for my healthWhen I leave this earth, hopin' you'll find someone else'Cause yeah, we still young, there's so much we haven't doneGetting married, start a family, watch your husband with his sonI wish it could be me, but I won't make it out this bedI hope I go to heaven so I see you once againMy life was kinda short, but I got so many blessingsHappy you were mine, it sucks that it's all ending[Chorus: beabadoobee, Powfu, beabadoobee & Powfu]Don't stay awake for too long, don't go to bedI'll make a cup of coffee for your headIt'll get you up and going out of bed (Yeah, ayy)Don't stay awake for too long, don't go to bedI'll make a cup of coffee for your headIt'll get you up and going out of bed (Ayy, yeah)"
8,Surrender,Natalie Taylor,"

[Verse 1]
We let the waters rise
We drifted to survive
I needed you to stay
But I let you drift away

[Pre-Chorus]
My love where are you?
My love where are you?

[Chorus]
Whenever you're ready, whenever you're ready
Whenever you're ready, whenever you're ready
Can we, can we surrender?
Can we, can we surrender?
I surrender

[Verse 2]
No one will win this time
I just want you back
I'm running to your side
Flying my white flag, my white flag

[Pre-Chorus]
My love where are you?
My love where are you?

[Chorus]
Whenever you're ready, whenever you're ready
Whenever you're ready, whenever you're ready
Can we, can we surrender?
Can we, can we surrender?
I surrender
I surrender

"
9,Like It Is,Kygo,"[Verse 1: Zara Larsson]Maybe you should leave this girl aloneBut you wo-o-on'tBut you do-o-on'tNow delete my number from your phoneBut you wo-o-on'tYou gotta go-o-o, ohLine by lineGotta spell it right out (Yeah)[Pre-Chorus: Zara Larsson]I don't know what you're looking forBut I don't think it's meI wish I could give you my allNot caught in make believeI don't feel how you feelI'm just telling it like it isI don't need you to say those words no more[Chorus: Zara Larsson & Kygo]I'm just telling it like it is (You got me, you got me)I'm just telling it, telling it (You got me, you got me)I'm just telling it like it is (You got me, you got me)I'm just telling it, telling it (You got me, you got me)I'm just telling it like it is (You got me, you got me)I'm just telling it, telling it (You got me, you got me)I'm just telling it like it is (You got me, you got me)I'm just telling it, telling it (You got me, you got me)I'm just telling it like it is"
